AphiaID,url,scientificname,authority,status,unacceptreason,taxonRankID,rank,valid_AphiaID,valid_name,valid_authority,parentNameUsageID,kingdom,phylum,class,order,family,genus,citation,lsid,isMarine,isBrackish,isFreshwater,isTerrestrial,isExtinct,match_type,modified,name
135402,https://www.marinespecies.org/aphia.php?p=taxdetails&id=135402,Abyla trigona,"Quoy & Gaimard, 1827",accepted,,220,Species,135402,Abyla trigona,"Quoy & Gaimard, 1827",135351,Animalia,Cnidaria,Hydrozoa,Siphonophorae,Abylidae,Abyla,"Schuchert, P. (2023). World Hydrozoa Database. Abyla trigona Quoy & Gaimard, 1827. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=135402 on 2023-03-09",urn:lsid:marinespecies.org:taxname:135402,1.0,0.0,0.0,0.0,0.0,exact,2013-12-29T08:53:57.207Z,Abyla trigona
237162,https://www.marinespecies.org/aphia.php?p=taxdetails&id=237162,Abyssorchomene nodimanus,"(Walker, 1903)",accepted,,220,Species,237162,Abyssorchomene nodimanus,"(Walker, 1903)",101585,Animalia,Arthropoda,Malacostraca,Amphipoda,Uristidae,Abyssorchomene,"Horton, T.; Lowry, J.; De Broyer, C.; Bellan-Santini, D.; Copilaș-Ciocianu, D.; Corbari, L.; Costello, M.J.; Daneliya, M.; Dauvin, J.-C.; Fišer, C.; Gasca, R.; Grabowski, M.; Guerra-García, J.M.; Hendrycks, E.; Hughes, L.; Jaume, D.; Jazdzewski, K.; Kim, Y.-H.; King, R.; Krapp-Schickel, T.; LeCroy, S.; Lörz, A.-N.; Mamos, T.; Senna, A.R.; Serejo, C.; Souza-Filho, J.F.; Tandberg, A.H.; Thomas, J.D.; Thurston, M.; Vader, W.; Väinölä, R.; Vonk, R.; White, K.; Zeidler, W. (2023). World Amphipoda Database. Abyssorchomene nodimanus (Walker, 1903). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=237162 on 2023-03-09",urn:lsid:marinespecies.org:taxname:237162,1.0,0.0,0.0,0.0,,exact,2016-02-17T14:16:44.227Z,Abyssorchomene nodimanus
236922,https://www.marinespecies.org/aphia.php?p=taxdetails&id=236922,Abyssorchomene rossi,"(Walker, 1903)",alternate representation,,220,Species,597787,Pseudorchomene rossi,"(Walker, 1903)",101585,Animalia,Arthropoda,Malacostraca,Amphipoda,Uristidae,Abyssorchomene,"Horton, T.; Lowry, J.; De Broyer, C.; Bellan-Santini, D.; Copilaș-Ciocianu, D.; Corbari, L.; Costello, M.J.; Daneliya, M.; Dauvin, J.-C.; Fišer, C.; Gasca, R.; Grabowski, M.; Guerra-García, J.M.; Hendrycks, E.; Hughes, L.; Jaume, D.; Jazdzewski, K.; Kim, Y.-H.; King, R.; Krapp-Schickel, T.; LeCroy, S.; Lörz, A.-N.; Mamos, T.; Senna, A.R.; Serejo, C.; Souza-Filho, J.F.; Tandberg, A.H.; Thomas, J.D.; Thurston, M.; Vader, W.; Väinölä, R.; Vonk, R.; White, K.; Zeidler, W. (2023). World Amphipoda Database. Abyssorchomene rossi (Walker, 1903). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=236922 on 2023-03-09",urn:lsid:marinespecies.org:taxname:236922,1.0,0.0,0.0,0.0,,exact,2016-02-17T14:16:44.227Z,Abyssorchomene rossi
377982,https://www.marinespecies.org/aphia.php?p=taxdetails&id=377982,Acanthina monodon,"(Pallas, 1774)",accepted,,220,Species,377982,Acanthina monodon,"(Pallas, 1774)",377980,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Acanthina,"MolluscaBase eds. (2023). MolluscaBase. Acanthina monodon (Pallas, 1774). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=377982 on 2023-03-09",urn:lsid:marinespecies.org:taxname:377982,1.0,,,,,exact,2010-01-26T12:02:07.103Z,acanthina monodon
206264,https://www.marinespecies.org/aphia.php?p=taxdetails&id=206264,Acanthocepola,"Bleeker, 1874",accepted,,180,Genus,206264,Acanthocepola,"Bleeker, 1874",125527,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Cepolidae,Acanthocepola,"Froese, R. and D. Pauly. Editors. (2023). FishBase. Acanthocepola Bleeker, 1874. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=206264 on 2023-03-09",urn:lsid:marinespecies.org:taxname:206264,1.0,1.0,0.0,0.0,,exact,2014-11-21T13:09:37.943Z,Acanthocepola sp.
440280,https://www.marinespecies.org/aphia.php?p=taxdetails&id=440280,Acanthocyclus gayi,"Lucas, 1844",accepted,,220,Species,440280,Acanthocyclus gayi,"Lucas, 1844",439189,Animalia,Arthropoda,Malacostraca,Decapoda,Belliidae,Acanthocyclus,"WoRMS (2023). Acanthocyclus gayi Lucas, 1844. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=440280 on 2023-03-09",urn:lsid:marinespecies.org:taxname:440280,1.0,0.0,0.0,0.0,0.0,exact,2022-05-13T08:15:22.193Z,acanthocyclus gayi
440281,https://www.marinespecies.org/aphia.php?p=taxdetails&id=440281,Acanthocyclus hassleri,"Rathbun, 1898",accepted,,220,Species,440281,Acanthocyclus hassleri,"Rathbun, 1898",439189,Animalia,Arthropoda,Malacostraca,Decapoda,Belliidae,Acanthocyclus,"WoRMS (2023). Acanthocyclus hassleri Rathbun, 1898. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=440281 on 2023-03-09",urn:lsid:marinespecies.org:taxname:440281,1.0,0.0,0.0,0.0,0.0,exact,2022-03-11T13:04:36.267Z,acanthocyclus hassleri
386269,https://www.marinespecies.org/aphia.php?p=taxdetails&id=386269,Acanthopleura echinata,"(Barnes, 1824)",accepted,,220,Species,386269,Acanthopleura echinata,"(Barnes, 1824)",151210,Animalia,Mollusca,Polyplacophora,Chitonida,Chitonidae,Acanthopleura,"MolluscaBase eds. (2023). MolluscaBase. Acanthopleura echinata (Barnes, 1824). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=386269 on 2023-03-09",urn:lsid:marinespecies.org:taxname:386269,1.0,,,,,exact,2009-03-23T08:24:45.870Z,acanthopleura echinata
104251,https://www.marinespecies.org/aphia.php?p=taxdetails&id=104251,Acartia clausi,"Giesbrecht, 1889",alternate representation,,220,Species,149755,Acartia (Acartiura) clausi,"Giesbrecht, 1889",104108,Animalia,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartia,"Walter, T.C.; Boxshall, G. (2023). World of Copepods Database. Acartia clausi Giesbrecht, 1889. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=104251 on 2023-03-09",urn:lsid:marinespecies.org:taxname:104251,1.0,0.0,0.0,0.0,,exact,2020-05-28T16:04:57.163Z,Acartia clausi
157664,https://www.marinespecies.org/aphia.php?p=taxdetails&id=157664,Acartia hudsonica,"Pinhey, 1926",alternate representation,,220,Species,149751,Acartia (Acartiura) hudsonica,"Pinhey, 1926",104108,Animalia,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartia,"Walter, T.C.; Boxshall, G. (2023). World of Copepods Database. Acartia hudsonica Pinhey, 1926. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=157664 on 2023-03-09",urn:lsid:marinespecies.org:taxname:157664,1.0,0.0,0.0,0.0,,exact,2010-06-30T11:19:04.087Z,Acartia hudsonica
104262,https://www.marinespecies.org/aphia.php?p=taxdetails&id=104262,Acartia tonsa,"Dana, 1849",alternate representation,,220,Species,345943,Acartia (Acanthacartia) tonsa,"Dana, 1849",104108,Animalia,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartia,"Walter, T.C.; Boxshall, G. (2023). World of Copepods Database. Acartia tonsa Dana, 1849. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=104262 on 2023-03-09",urn:lsid:marinespecies.org:taxname:104262,1.0,0.0,0.0,0.0,,exact,2008-06-27T08:45:14.087Z,Acartia tonsa
