#,Species reported name,Species current name,Trophic strategy,Feeding mode,Theca,Sulcus morphology,"Equivalent spherical diameter (ESD, um)","Standard deviation of equivalent spherical diameter (ESD, um)","Optimal prey, specie","Optimal prey, taxa","Optimal prey size, (OPS, um)","Standard deviation, optimal prey size (um)",Minimum prey size (um),Maximum prey size (um),Median prey size (um),"Specialization factor, s",Primary source,Secondary source
1,Gyrodinium spirale,,H,DE,0,overlaping,28,,Alexandrium tamarense,Dinophyta,32,,6.6,48.8,17.9,0,hansen1992,hansen1994
2,Amphidinium carterae,,M,DE,0,straight,6.6,1.8,,,,,,,,,,jeong2005
3,Prorocentrum minimum,Prorocentrum cordatum,M,DE,1,no-sulcus,12.1,2.5,Telaulax sp.,Cryptophyta,5.6,1.5,5.2,11.5,7.7,-1,,jeong2005
4,Prorocentrum triestinum,,M,DE,1,no-sulcus,12.6,2,Telaulax sp.,Cryptophyta,5.6,1.5,5.2,12.1,7.9,-1,,jeong2005
5,Gymnodinium impudicum,,M,DE,0,straight,17.8,2.6,,,,,5.2,11.5,7.7,,,jeong2005
6,Scrippsiella trochoidea,,M,DE,1,straight,22.8,2.7,,,,,5.2,12.1,7.9,,,jeong2005
7,Alexandrium tamarense,,M,DE,1,straight,28.1,3.1,,,,,5.2,12.1,7.9,,,jeong2005
8,Akashiwo sanguinea,,M,DE,0,straight,30.8,3.5,Prorocentrum cordatum,Dinophyta,12.1,2.5,5.2,28.1,12.1,0,jeong2021,jeong2005
9,Gymnodinium catenatum,,M,DE,0,straight,33.9,1.6,Telaulax sp.,Cryptophyta,5.6,1.5,5.2,12.1,7.9,-1,,jeong2005
10,Karlodinium armiger,,M,TF,0,,14.9,,Rhodomonas baltica,Cryptophyta,9.8,,5.6,31.4,13.3,0,,berge2008
11,Gyrodinium instriatum,,M,DE,0,overlaping,62,10,,,small,,,,,0,,uchida1997
12,Gyrodinium instriatum,,M,TF,0,overlaping,62,10,,,large,,,,,0,,uchida1997
13,Yihiella yeosuensis,,M,DE,0,straight,7.8,1.6,Telaulax sp.,Cryptophyta,5.6,1.5,5.6,5.6,5.6,-1,,jang2017
14,Ansanella granifera,,M,DE,0,straight,10.5,,Pyramimonas sp.,Cryptophyta,5.6,1.5,0.9,5.6,2.2,-1,,lee2014
15,Prorocentrum donghaiense,,M,DE,1,no-sulcus,13.2,2,Telaulax sp.,Cryptophyta,5.6,1.5,5.2,12.1,7.9,-1,jeong2005,lee2014
16,Heterocapsa triquetra,,M,DE,1,straight,15,4.3,Telaulax sp.,Cryptophyta,5.6,1.5,5.2,12.1,7.9,-1,jeong2005,lee2014
