"specie","esd","opt","min.50","max.50","min.10","max.10","group"
"Ochromonas danica",6.1,1.4,,,,,"Flagellate"
"Bodo",4.9,1.4,,,,,"Flagellate"
"Bodo",4.4,1.4,,,,,"Flagellate"
"Bodo",3.4,1.3,,,,,"Flagellate"
"Lohmaniella spiralis",66,9.7,5.4,15.2,2.3,17,"Ciliate"
"Strombidium reticulatum",42,7.9,3.3,8.6,1.3,9.3,"Ciliate"
"Strombidium vestitum",26,2.1,1.6,2.9,,7.9,"Ciliate"
"Brachionus angularis",66,3.5,1,5.7,,18.1,"Rotifer"
"Brachionus F",83,6.1,2.7,12.6,,17.4,"Rotifer"
"Brachionus B",126,6,2.1,16.7,,,"Rotifer"
"Brachionus calyciflorus",139,8.8,6.2,,2,,"Rotifer"
"Mediomastus fragile",148,6.9,6.4,9.2,3.8,11.4,"Meroplankton"
"Philine aperta",214,4.6,3.1,6.3,,,"Meroplankton"
"Philine aperta",280,6.5,4,16.7,1.5,,"Meroplankton"
"Philine aperta",317,4.4,3.9,6.6,1.5,,"Meroplankton"
"Philine aperta",441,4.5,3.9,7.4,1.8,,"Meroplankton"
"Mercenaria mercenaria",100,4.1,3.5,5.2,,6.2,"Meroplankton"
"Mytilus edulis",99,2.9,1.4,5.4,,7.4,"Meroplankton"
"Mytilus edulis",236,2.9,2.1,4.5,1.8,,"Meroplankton"
"Mytilus edulis",241,2.9,2.5,6.9,,,"Meroplankton"
"Ostrea edulis",208,3.6,,8.4,,,"Meroplankton"
"Acartia tonsa N2-N3",97,6.8,5.4,7.9,4.9,11.1,"Copepod"
"Acartia tonsa N2-N3",100,7.2,6.1,14.7,4.5,,"Copepod"
"Acartia tonsa N2-N3",112,7,4.5,12.4,4,,"Copepod"
"Acartia tonsa N4-N5",135,4,3.6,17.5,2.6,,"Copepod"
"Calanus pacificus N5",237,28.7,19,29.6,5,,"Copepod"
"Diaptomus sicilis",398,14.1,8.9,22,4,,"Copepod"
"Acartia tonsa C3-C4",279,14.5,8.8,,4.4,,"Copepod"
"Calanus pacificus C1",289,28.7,12.3,,7,,"Copepod"
"Acartia tonsa males",453,14.5,11.2,91,4,153,"Copepod"
"Acartia tonsa females",499,14.8,11.1,77,4.4,137,"Copepod"
"Pseudocalanus minutus",414,14.4,6,28,4.5,32,"Copepod"
"Temora longicornis",558,15,6.5,33,,,"Copepod"
"Acartia clausi",353,25,,35,,,"Copepod"
"Eurytemora herdmani",381,16,8,33,6.7,,"Copepod"
"Calanus finmarchicus",855,80,27,137,7,,"Copepod"
"Acartia tonsa",444,32,,,,,"Copepod"
"Diaptomus graciloides",325,31,27,35,,,"Copepod"
"Centropages typicus",559,32,25,37,9.2,120,"Copepod"
"Daphnia cuculata",284,7,,15,,24,"Cladoceran"
"Daphnia longispina",297,6,,20,,25,"Cladoceran"
"Bosmina coregoni",311,,,12,,24,"Cladoceran"
"Chydorus sphaericus",344,,,11,,20,"Cladoceran"
"Diaphanosoma brachyurum",277,,,10,,17,"Cladoceran"
