Taxon,Trophic level,Mass (log10 kg),Prey mass (log10 kg),Predator Prey ratio (log10),Diet,Niche,Environment,Predator Diet Source,Predator Body Mass Source,Prey mass Source,Niche Source
Arctocephalus_gazella,3.7,1.5,-1.8,3.3,Carnivore,Zooplankton,Marine,Pauly et al. 1998,Staniland et al. 2010,Ciaputa et al. 2006,Pauly et al. 1998
Arctocephalus_tropicalis,4.1,1.5,-1.3,2.9,Carnivore,Squid,Marine,Pauly et al. 1998,DeBruyn et al. 2009,"Ciaputa et al. 2006, Robinson et al. 2002",Pauly et al. 1998
Balaena_mysticetus,3.2,4.5,-3.9,8.4,Carnivore,Zooplankton,Marine,Pauly et al. 1998,Heide-Jorgensen et al. 2007,Pomerleau et al. 2011,Pauly et al. 1998
Balaenoptera_acutorostrata,3.4,3.8,-4.0,7.7,Carnivore,Zooplankton,Marine,Pauly et al. 1998,Jones et al. 2009,"Smout et al. 2007, Weslawski et al. 2006",Pauly et al. 1998
Balaenoptera_borealis,3.4,4.3,-4.7,9.1,Carnivore,Zooplankton,Marine,Pauly et al. 1998,Jones et al. 2009,"Weslawski et al. 2006, Kenney et al. 1997",Pauly et al. 1998
Balaenoptera_edeni,3.7,4.3,-0.7,5.0,Carnivore,Fish,Marine,Pauly et al. 1998,Jones et al. 2009,"Froese & Pauly 2011, Hart et al. 1973, Tershy 1992, Weslawski et al. 2006",Pauly et al. 1998
Balaenoptera_musculus,3.2,5.2,-3.3,8.5,Carnivore,Zooplankton,Marine,Pauly et al. 1998,Jones et al. 2009,"Mizdalski 1988, Fiedler 1998",Pauly et al. 1998
Balaenoptera_physalus,3.4,4.7,-4.1,8.8,Carnivore,Zooplankton,Marine,Pauly et al. 1998,Jones et al. 2009,"Tershey et al. 1973, Weslawski et al. 2006",Pauly et al. 1998
Berardius_arnuxii,4.1,4.7,-0.2,4.9,Carnivore,Fish,Marine,Pauly et al. 1998,Jones et al. 2009,"Jefferson et al. 1993, Culik 2010",Pauly et al. 1998
Berardius_bairdii,4.2,3.9,-0.2,4.0,Carnivore,Squid,Marine,Pauly et al. 1998,Jones et al. 2009,Walker et al. 2002,Pauly et al. 1998
Callorhinus_ursinus,4.2,4.1,-0.6,4.6,Carnivore,Fish,Marine,Pauly et al. 1998,Jones et al. 2009,Kurle et al. 2001,Pauly et al. 1998
Caperea_marginata,3.2,1.7,-5.1,6.8,Carnivore,Zooplankton,Marine,Pauly et al. 1998,Jones et al. 2009,"Mizdalski 1988, Jefferson 1993",Pauly et al. 1998
Cephalorhynchus_commersonii,3.9,4.5,-0.6,5.1,Carnivore,Fish,Marine,Pauly et al. 1998,Jones et al. 2009,Clarke et al. 1994,Pauly et al. 1998
Cephalorhynchus_heavisidii,4.3,1.9,-0.3,2.2,Carnivore,Fish,Marine,Pauly et al. 1998,Elwin et al. 2006,"Elwin et al. 2006, Eder et al. 2005",Pauly et al. 1998
Cephalorhynchus_hectori,4.2,1.9,-0.1,2.0,Carnivore,Fish,Marine,Pauly et al. 1998,Jones et al. 2009,"Meynier et al. 2009, Wilcox et al. 2001",Pauly et al. 1998
