,"name","specie","esd","opt","type","group","kingdom","phylum","class","order","family","genus"
"1","Ablabesmyia monilis","Ablabesmyia monilis",1242.35758610176,782.576210268208,"walking predacious","Invertebrate","NA","NA","NA","NA","NA","NA"
"10","acanthopleura echinata","acanthopleura echinata",21356.1937010602,4570.78149734083,"walking predacious","Invertebrate","Animalia","Mollusca","Polyplacophora","Chitonida","Chitonidae","Acanthopleura"
"100","Bodonid","Bodonid",4.64327470649756,0.848528137423857,"Flagellate","Plankton","Animalia","Arthropoda","Ostracoda",,"Tvaerenellidae","Bodenia"
"101","Bolinopsis infudibulum","Bolinopsis infudibulum",18973.6659610103,2345.20787991171,"Ctenophora","Jellyfish","Animalia","Ctenophora","Tentaculata","Lobata","Bolinopsidae","Bolinopsis"
"102","Bosmina longispina","Bosmina longispina",460,3.57770876399966,"sessile herbivorous","Invertebrate","NA","NA","NA","NA","NA","NA"
"103","Bougainvillea ramosa","Bougainvillea ramosa",2418.00934861342,616.480222073676,"sessile predacious","Invertebrate","Animalia","Cnidaria","Hydrozoa","Anthoathecata","Bougainvilliidae","Bougainvillia"
"104","Bowmaniella dissimilis","Bowmaniella dissimilis",1820.51150767554,424.667067731039,"swimming predacious","Invertebrate","Animalia","Arthropoda","Malacostraca","Mysida","Mysidae","Bowmaniella"
"105","Brachionus angularis","Brachionus angularis",118.321595661992,3.46410161513775,"sessile herbivorous","Invertebrate","NA","NA","NA","NA","NA","NA"
"106","Brachionus angularis","Brachionus angularis",66,3.5,"sessile herbivorous","Invertebrate","NA","NA","NA","NA","NA","NA"
"107","Brachionus B","Brachionus B",126,6,"sessile herbivorous","Invertebrate","Animalia","Rotifera","Eurotatoria","Ploima","Brachionidae","Brachionus"
"108","Brachionus calyciflorus","Brachionus calyciflorus",139,8.8,"sessile herbivorous","Invertebrate","NA","NA","NA","NA","NA","NA"
"109","Brachionus calyciflorus","Brachionus calyciflorus",250.399680510978,7.34846922834953,"sessile herbivorous","Invertebrate","NA","NA","NA","NA","NA","NA"
"11","Acartia clausi","Acartia clausi",353,25,"swimming predacious","Invertebrate","Animalia","Arthropoda","Copepoda","Calanoida","Acartiidae","Acartia"
"110","Brachionus F","Brachionus F",83,6.1,"sessile herbivorous","Invertebrate","Animalia","Rotifera","Eurotatoria","Ploima","Brachionidae","Brachionus"
"111","Brachionus rubens B","Brachionus rubens B",228.035085019828,4.24264068711929,"sessile herbivorous","Invertebrate","NA","NA","NA","NA","NA","NA"
"112","Brachionus rubens F","Brachionus rubens F",146.969384566991,3.46410161513775,"sessile herbivorous","Invertebrate","NA","NA","NA","NA","NA","NA"
