"X","name","specie","esd","opt","type","group","source","kingdom","phylum","class","order","family","genus","tag"
1,"Abyla trigona","Abyla trigona",2500,1183.21595661992,"tentacled","Jellyfish","Fuchs 2010","Animalia","Cnidaria","Hydrozoa","Siphonophorae","Abylidae","Abyla","Jellyfish - tentacled"
2,"Abyssorchomene nodimanus","Abyssorchomene nodimanus",7710.2928416282,37674.9891872554,"swimming predacious","Invertebrate","Brose 2019","Animalia","Arthropoda","Malacostraca","Amphipoda","Uristidae","Abyssorchomene","Invertebrate - swimming predacious"
3,"Abyssorchomene rossi","Abyssorchomene rossi",15366.8549839116,22032.4673341026,"swimming predacious","Invertebrate","Brose 2019","Animalia","Arthropoda","Malacostraca","Amphipoda","Uristidae","Abyssorchomene","Invertebrate - swimming predacious"
4,"Acanthocepola sp.","Acanthocepola sp.",2545.70579339092,140.72847670024,"predacious","Fish","Barnes 2008","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Cepolidae","Acanthocepola","Fish - predacious"
5,"Acanthocyclops vernalis","Acanthocyclops vernalis",424.667067731039,424.667067731039,"swimming predacious","Invertebrate","Brose 2019","NA","NA","NA","NA","NA","NA","Invertebrate - swimming predacious"
6,"Acartia clausi","Acartia clausi",353,25,"swimming predacious","Invertebrate","Hansen 1994","Animalia","Arthropoda","Copepoda","Calanoida","Acartiidae","Acartia","Invertebrate - swimming predacious"
7,"Acartia hudsonica","Acartia hudsonica",689.84497523783,424.667067731039,"swimming predacious","Invertebrate","Brose 2019","Animalia","Arthropoda","Copepoda","Calanoida","Acartiidae","Acartia","Invertebrate - swimming predacious"
8,"Acartia tonsa","Acartia tonsa",689.84497523783,424.667067731039,"swimming predacious","Invertebrate","Brose 2019","Animalia","Arthropoda","Copepoda","Calanoida","Acartiidae","Acartia","Invertebrate - swimming predacious"
9,"Acartia tonsa","Acartia tonsa",444,32,"swimming predacious","Invertebrate","Hansen 1994","Animalia","Arthropoda","Copepoda","Calanoida","Acartiidae","Acartia","Invertebrate - swimming predacious"
10,"Acartia tonsa C3-C4","Acartia tonsa",279,14.5,"swimming predacious","Invertebrate","Hansen 1994","Animalia","Arthropoda","Copepoda","Calanoida","Acartiidae","Acartia","Invertebrate - swimming predacious"
11,"Acartia tonsa females","Acartia tonsa",499,14.8,"swimming predacious","Invertebrate","Hansen 1994","NA","NA","NA","NA","NA","NA","Invertebrate - swimming predacious"
12,"Acartia tonsa males","Acartia tonsa",453,14.5,"swimming predacious","Invertebrate","Hansen 1994","NA","NA","NA","NA","NA","NA","Invertebrate - swimming predacious"
13,"Acartia tonsa N2-N3","Acartia tonsa",100,7.2,"swimming predacious","Invertebrate","Hansen 1994","Animalia","Arthropoda","Copepoda","Calanoida","Acartiidae","Acartia","Invertebrate - swimming predacious"
14,"Acartia tonsa N2-N3","Acartia tonsa",112,7,"swimming predacious","Invertebrate","Hansen 1994","Animalia","Arthropoda","Copepoda","Calanoida","Acartiidae","Acartia","Invertebrate - swimming predacious"
15,"Acartia tonsa N2-N3","Acartia tonsa",97,6.8,"swimming predacious","Invertebrate","Hansen 1994","Animalia","Arthropoda","Copepoda","Calanoida","Acartiidae","Acartia","Invertebrate - swimming predacious"
16,"Acartia tonsa N4-N5","Acartia tonsa",135,4,"swimming predacious","Invertebrate","Hansen 1994","Animalia","Arthropoda","Copepoda","Calanoida","Acartiidae","Acartia","Invertebrate - swimming predacious"
17,"Agabus bipustulatus","Agabus bipustulatus",10533.780553459,7332.24593664384,"swimming predacious","Invertebrate","Brose 2019","NA","NA","NA","NA","NA","NA","Invertebrate - swimming predacious"
18,"Agabus sturmii","Agabus sturmii",8138.03329549849,7332.24593664384,"swimming predacious","Invertebrate","Brose 2019","NA","NA","NA","NA","NA","NA","Invertebrate - swimming predacious"
19,"Akashiwo sanguinea","Akashiwo sanguinea",30.8,12.1,"Dinoflagellates","Plankton","Garcia-Oliva 2022","Chromista","Myzozoa","Dinophyceae","Gymnodiniales","Gymnodiniaceae","Akashiwo","Plankton - Dinoflagellates"
20,"Alexandrium andersonii","Alexandrium andersonii",14.9,5.6,"Dinoflagellates","Plankton","Garcia-Oliva 2022","Chromista","Myzozoa","Dinophyceae","Gonyaulacales","Ostreopsidaceae","Alexandrium","Plankton - Dinoflagellates"
21,"Alexandrium pohangense","Alexandrium pohangense",32,25.8,"Dinoflagellates","Plankton","Garcia-Oliva 2022","Chromista","Myzozoa","Dinophyceae","Gonyaulacales","Ostreopsidaceae","Alexandrium","Plankton - Dinoflagellates"
22,"Alexandrium pseudogonyaulax","Alexandrium pseudogonyaulax",35.4,9.5,"Dinoflagellates","Plankton","Garcia-Oliva 2022","Chromista","Myzozoa","Dinophyceae","Gonyaulacales","Ostreopsidaceae","Alexandrium","Plankton - Dinoflagellates"
23,"Alteutha depressa","Alteutha depressa",424.667067731039,424.667067731039,"swimming predacious","Invertebrate","Brose 2019","Animalia","Arthropoda","Copepoda","Harpacticoida","Peltidiidae","Alteutha","Invertebrate - swimming predacious"
24,"Ammodytes hexapterus","Ammodytes hexapterus",5047.55136810709,145.137448658632,"planktivorous","Fish","Barnes 2008","Animalia","Chordata","Teleostei","Perciformes","Ammodytidae","Ammodytes","Fish - planktivorous"
25,"Amylax triacantha","Amylax triacantha",30,22,"Dinoflagellates","Plankton","Garcia-Oliva 2022","Chromista","Myzozoa","Dinophyceae","Gonyaulacales","Gonyaulacaceae","Amylax","Plankton - Dinoflagellates"
26,"Anarhichas lupus","Anarhichas lupus",6070.82746440422,3235.09501343686,"piscivorous","Fish","Barnes 2008","Animalia","Chordata","Teleostei","Perciformes","Anarhichadidae","Anarhichas","Fish - piscivorous"
27,"Anarhichas minor","Anarhichas minor",7628.68829882928,8759.05174554153,"piscivorous","Fish","Barnes 2008","Animalia","Chordata","Teleostei","Perciformes","Anarhichadidae","Anarhichas","Fish - piscivorous"
28,"Ansanella granifera","Ansanella granifera",10.5,5.6,"Dinoflagellates","Plankton","Garcia-Oliva 2022","Chromista","Myzozoa","Dinophyceae","Suessiales","Suessiaceae","Ansanella","Plankton - Dinoflagellates"
29,"Antarctomysis maxima","Antarctomysis maxima",29173.0325559272,1637.73289129262,"swimming predacious","Invertebrate","Brose 2019","Animalia","Arthropoda","Malacostraca","Mysida","Mysidae","Antarctomysis","Invertebrate - swimming predacious"
30,"Apolemia uvaria","Apolemia uvaria",10000,1529.70585407784,"tentacled","Jellyfish","Fuchs 2010","Animalia","Cnidaria","Hydrozoa","Siphonophorae","Apolemiidae","Apolemia","Jellyfish - tentacled"
31,"Arctocephalus gazella","Arctocephalus gazella",392344.099769132,31164.9996174102,"Zooplankton","Mammals","Tucker 2014","Animalia","Chordata","Mammalia","Carnivora","Otariidae","Arctocephalus","Mammals - Zooplankton"
32,"Arctocephalus tropicalis","Arctocephalus tropicalis",392344.099769132,45743.9636138768,"Fish","Mammals","Tucker 2014","Animalia","Chordata","Mammalia","Carnivora","Otariidae","Arctocephalus","Mammals - Fish"
33,"Argyroneta aquatica","Argyroneta aquatica",8040.74889125853,6354.47510824412,"swimming predacious","Invertebrate","Brose 2019","NA","NA","NA","NA","NA","NA","Invertebrate - swimming predacious"
34,"Aspitrigla cuculus","Aspitrigla cuculus",68575.2628421097,11162.0949897841,"piscivorous","Fish","Barnes 2008","Animalia","Chordata","Teleostei","Perciformes","Triglidae","Aspitrigla","Fish - piscivorous"
35,"Athorybia rosacea","Athorybia rosacea",2200,1414.2135623731,"tentacled","Jellyfish","Fuchs 2010","Animalia","Cnidaria","Hydrozoa","Siphonophorae","Agalmatidae","Athorybia","Jellyfish - tentacled"
36,"Atolla wyvillei","Atolla wyvillei",14202.4808461499,1588.81582727107,"tentacled","Jellyfish","Brose 2019","Animalia","Cnidaria","Scyphozoa","Coronatae","Atollidae","Atolla","Jellyfish - tentacled"
37,"Aurelia aurita","Aurelia aurita",16201.8517460196,2345.20787991171,"tentacled","Jellyfish","Fuchs 2010","Animalia","Cnidaria","Scyphozoa","Semaeostomeae","Ulmaridae","Aurelia","Jellyfish - tentacled"
38,"Aurelia aurita","Aurelia aurita",21378.8869030305,424.667067731039,"tentacled","Jellyfish","Brose 2019","Animalia","Cnidaria","Scyphozoa","Semaeostomeae","Ulmaridae","Aurelia","Jellyfish - tentacled"
39,"Balaena mysticetus","Balaena mysticetus",3923440.99769132,6218.23492826382,"Zooplankton","Mammals","Tucker 2014","Animalia","Chordata","Mammalia","Cetartiodactyla","Balaenidae","Balaena","Mammals - Zooplankton"
40,"Balaenoptera acutorostrata","Balaenoptera acutorostrata",2292629.05787855,5758.82382296972,"Zooplankton","Mammals","Tucker 2014","Animalia","Chordata","Mammalia","Cetartiodactyla","Balaenopteridae","Balaenoptera","Mammals - Zooplankton"
41,"Balaenoptera borealis","Balaenoptera borealis",3365119.25208321,3365.11925208321,"Zooplankton","Mammals","Tucker 2014","Animalia","Chordata","Mammalia","Cetartiodactyla","Balaenopteridae","Balaenoptera","Mammals - Zooplankton"
42,"Balaenoptera edeni","Balaenoptera edeni",3365119.25208321,72499.2965278222,"Fish","Mammals","Tucker 2014","Animalia","Chordata","Mammalia","Cetartiodactyla","Balaenopteridae","Balaenoptera","Mammals - Fish"
43,"Balaenoptera musculus","Balaenoptera musculus",6714295.62905789,9855.23820692924,"Zooplankton","Mammals","Tucker 2014","Animalia","Chordata","Mammalia","Cetartiodactyla","Balaenopteridae","Balaenoptera","Mammals - Zooplankton"
44,"Balaenoptera physalus","Balaenoptera physalus",4574396.36138768,5333.35459444652,"Zooplankton","Mammals","Tucker 2014","Animalia","Chordata","Mammalia","Cetartiodactyla","Balaenopteridae","Balaenoptera","Mammals - Zooplankton"
45,"Balanion comatum","Balanion comatum",17,6.32455532033676,"Ciliates","Plankton","Fuchs 2010","Chromista","Ciliophora","Prostomatea","Prorodontida","Balanionidae","Balanion","Plankton - Ciliates"
