"group","type","min.esd","max.esd","mean.D","s","color","lty"
"primary-producers","plankton",1,2000,0,0,0,1
"unicellular","flagellates",2.5,10,3.03,-0.04,1,1
"unicellular","ciliates",17,130,3.03,-0.82,1,1
"unicellular","dinoflagellates",6,81,3.03,1,1,1
"invertebrate","meroplankton",99,1700,7.26,-2.51,2,2
"invertebrate","hervivorous",66,2400,7.26,-2.75,2,1
"invertebrate","swimming",250,60000,7.26,0.5,2,1
"invertebrate","copepod",100,3000,7.26,-1.5,2,1
"invertebrate","squid",1000,500000,7.26,2,2,2
"jellyfish","salp",1480,70711,8.74,-4,3,1
"jellyfish","other",400,70710,8.74,1.1,3,1
"fish","piscivorous",60710,638163,10.27,1.05,4,1
"fish","generalist",1100,549874,10.27,0.15,4,1
"fish","generalist2",1100,549874,10.27,-2.3,4,1
"mammals","fish+squid",390000,6380000,13.98,0.8,5,1
"mammals","zooplankton",167300,6714295,13.98,-1.5,5,1
"mammals","mammals",533335,1821100,13.98,3,5,2
