"","name","group","esd","opt","ops.0","ops.2"
"1","Abyla trigona","Jellyfish",2500,1183.21595661992,913.720587803234,403.550062299821
"2","Abyssorchomene nodimanus","Invertebrate",7710.2928416282,37674.9891872554,3286.7806549661,1447.82371278693
"3","Abyssorchomene rossi","Invertebrate",15366.8549839116,22032.4673341026,6411.09328349723,2927.66379860848
"4","Acanthocepola sp.","Fish",2545.70579339092,140.72847670024,161.837209605693,352.803268850682
"5","Acanthocyclops vernalis","Invertebrate",424.667067731039,424.667067731039,176.75141070126,66.8905052588845
"6","Acartia clausi","Invertebrate",353,25,145.781954003959,54.637507747277
"7","Acartia hudsonica","Invertebrate",689.84497523783,424.667067731039,292.010536434771,113.359145125896
"8","Acartia tonsa","Invertebrate",689.84497523783,424.667067731039,292.010536434771,113.359145125896
"9","Acartia tonsa","Invertebrate",444,32,185.124479309174,70.2231548734912
"10","Acartia tonsa C3-C4","Invertebrate",279,14.5,113.960010859717,42.1865286291431
"11","Acartia tonsa females","Invertebrate",499,14.8,208.97883327206,79.7591872290276
"12","Acartia tonsa males","Invertebrate",453,14.5,189.024646197578,71.7781692629575
"13","Acartia tonsa N2-N3","Invertebrate",100,7.2,38.3808898879979,13.4620545092788
"14","Acartia tonsa N2-N3","Invertebrate",112,7,43.3324343776879,15.2896855254236
"15","Acartia tonsa N2-N3","Invertebrate",97,6.8,37.1475802406368,13.0086093545719
"16","Acartia tonsa N4-N5","Invertebrate",135,4,52.8927874117079,18.8472550015484
"17","Agabus bipustulatus","Invertebrate",10533.780553459,7332.24593664384,4452.61789799955,1993.61162545167
"18","Agabus sturmii","Invertebrate",8138.03329549849,7332.24593664384,3464.58368791792,1530.45788047439
"19","Akashiwo sanguinea","Plankton",30.8,12.1,18.1284327067797,5.46207586341088
"20","Alexandrium andersonii","Plankton",14.9,5.6,9.02782826205103,2.5189894789736
"21","Alexandrium pohangense","Plankton",32,25.8,18.7999808956173,5.68735031146629
"22","Alexandrium pseudogonyaulax","Plankton",35.4,9.5,20.6930476677968,6.32722904064657
"23","Alteutha depressa","Invertebrate",424.667067731039,424.667067731039,176.75141070126,66.8905052588845
"24","Ammodytes hexapterus","Fish",5047.55136810709,145.137448658632,226.682552785601,755.134788730737
"25","Amylax triacantha","Plankton",30,22,17.6797035917709,5.31207182836531
"26","Anarhichas lupus","Fish",6070.82746440422,3235.09501343686,4218.76785894253,925.509452215284
"27","Anarhichas minor","Fish",7628.68829882928,8759.05174554153,4812.30441314667,1189.22541111383
"28","Ansanella granifera","Plankton",10.5,5.6,6.42471500720667,1.72748555263623
"29","Antarctomysis maxima","Invertebrate",29173.0325559272,1637.73289129262,11818.4441658358,5580.53186608301
"30","Apolemia uvaria","Jellyfish",10000,1529.70585407784,1721.73782263427,1781.87647941607
