name,specie,esd,opt,group
Abyla trigona,Abyla trigona,2500,1183.21595661992,Jellyfish
Abyssorchomene nodimanus,Abyssorchomene nodimanus,7710.2928416282,37674.9891872554,Invertebrate
Abyssorchomene rossi,Abyssorchomene rossi,15366.8549839116,22032.4673341026,Invertebrate
Acanthocepola sp.,Acanthocepola sp.,2545.70579339092,140.72847670024,Fish
Acanthocyclops vernalis,Acanthocyclops vernalis,424.667067731039,424.667067731039,Invertebrate
Acartia clausi,Acartia clausi,353,25,Invertebrate
Acartia hudsonica,Acartia hudsonica,689.84497523783,424.667067731039,Invertebrate
Acartia tonsa,Acartia tonsa,689.84497523783,424.667067731039,Invertebrate
Acartia tonsa,Acartia tonsa,444,32,Invertebrate
Acartia tonsa C3-C4,Acartia tonsa,279,14.5,Invertebrate
Acartia tonsa females,Acartia tonsa,499,14.8,Invertebrate
Acartia tonsa males,Acartia tonsa,453,14.5,Invertebrate
Acartia tonsa N2-N3,Acartia tonsa,100,7.2,Invertebrate
Acartia tonsa N2-N3,Acartia tonsa,112,7,Invertebrate
Acartia tonsa N2-N3,Acartia tonsa,97,6.8,Invertebrate
Acartia tonsa N4-N5,Acartia tonsa,135,4,Invertebrate
Agabus bipustulatus,Agabus bipustulatus,10533.780553459,7332.24593664384,Invertebrate
Agabus sturmii,Agabus sturmii,8138.03329549849,7332.24593664384,Invertebrate
Akashiwo sanguinea,Akashiwo sanguinea,30.8,12.1,Plankton
Alexandrium andersonii,Alexandrium andersonii,14.9,5.6,Plankton
Alexandrium pohangense,Alexandrium pohangense,32,25.8,Plankton
Alexandrium pseudogonyaulax,Alexandrium pseudogonyaulax,35.4,9.5,Plankton
Alteutha depressa,Alteutha depressa,424.667067731039,424.667067731039,Invertebrate
Ammodytes hexapterus,Ammodytes hexapterus,5047.55136810709,145.137448658632,Fish
Amylax triacantha,Amylax triacantha,30,22,Plankton
Anarhichas lupus,Anarhichas lupus,6070.82746440422,3235.09501343686,Fish
Anarhichas minor,Anarhichas minor,7628.68829882928,8759.05174554153,Fish
Ansanella granifera,Ansanella granifera,10.5,5.6,Plankton
Antarctomysis maxima,Antarctomysis maxima,29173.0325559272,1637.73289129262,Invertebrate
Apolemia uvaria,Apolemia uvaria,10000,1529.70585407784,Jellyfish
Arctocephalus gazella,Arctocephalus gazella,392344.099769132,31164.9996174102,Mammals
Arctocephalus tropicalis,Arctocephalus tropicalis,392344.099769132,45743.9636138768,Mammals
Argyroneta aquatica,Argyroneta aquatica,8040.74889125853,6354.47510824412,Invertebrate
Aspitrigla cuculus,Aspitrigla cuculus,68575.2628421097,11162.0949897841,Fish
Athorybia rosacea,Athorybia rosacea,2200,1414.2135623731,Jellyfish
Atolla wyvillei,Atolla wyvillei,14202.4808461499,1588.81582727107,Jellyfish
