name,specie,esd,opt,type,group,tag
Abyla trigona,Abyla trigona,2500,1183.21595661992,tentacled,Jellyfish,Jellyfish - tentacled
Abyssorchomene nodimanus,Abyssorchomene nodimanus,7710.2928416282,37674.9891872554,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Abyssorchomene rossi,Abyssorchomene rossi,15366.8549839116,22032.4673341026,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Acanthocepola sp.,Acanthocepola sp.,2545.70579339092,140.72847670024,predacious,Fish,Fish - predacious
Acanthocyclops vernalis,Acanthocyclops vernalis,424.667067731039,424.667067731039,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Acartia clausi,Acartia clausi,353,25,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Acartia hudsonica,Acartia hudsonica,689.84497523783,424.667067731039,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Acartia tonsa,Acartia tonsa,689.84497523783,424.667067731039,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Acartia tonsa,Acartia tonsa,444,32,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Acartia tonsa C3-C4,Acartia tonsa,279,14.5,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Acartia tonsa females,Acartia tonsa,499,14.8,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Acartia tonsa males,Acartia tonsa,453,14.5,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Acartia tonsa N2-N3,Acartia tonsa,100,7.2,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Acartia tonsa N2-N3,Acartia tonsa,112,7,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Acartia tonsa N2-N3,Acartia tonsa,97,6.8,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Acartia tonsa N4-N5,Acartia tonsa,135,4,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Agabus bipustulatus,Agabus bipustulatus,10533.780553459,7332.24593664384,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Agabus sturmii,Agabus sturmii,8138.03329549849,7332.24593664384,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Akashiwo sanguinea,Akashiwo sanguinea,30.8,12.1,Dinoflagellates,Plankton,Plankton - Dinoflagellates
Alexandrium andersonii,Alexandrium andersonii,14.9,5.6,Dinoflagellates,Plankton,Plankton - Dinoflagellates
Alexandrium pohangense,Alexandrium pohangense,32,25.8,Dinoflagellates,Plankton,Plankton - Dinoflagellates
Alexandrium pseudogonyaulax,Alexandrium pseudogonyaulax,35.4,9.5,Dinoflagellates,Plankton,Plankton - Dinoflagellates
Alteutha depressa,Alteutha depressa,424.667067731039,424.667067731039,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Ammodytes hexapterus,Ammodytes hexapterus,5047.55136810709,145.137448658632,planktivorous,Fish,Fish - planktivorous
Amylax triacantha,Amylax triacantha,30,22,Dinoflagellates,Plankton,Plankton - Dinoflagellates
Anarhichas lupus,Anarhichas lupus,6070.82746440422,3235.09501343686,piscivorous,Fish,Fish - piscivorous
Anarhichas minor,Anarhichas minor,7628.68829882928,8759.05174554153,piscivorous,Fish,Fish - piscivorous
Ansanella granifera,Ansanella granifera,10.5,5.6,Dinoflagellates,Plankton,Plankton - Dinoflagellates
Antarctomysis maxima,Antarctomysis maxima,29173.0325559272,1637.73289129262,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Apolemia uvaria,Apolemia uvaria,10000,1529.70585407784,tentacled,Jellyfish,Jellyfish - tentacled
Arctocephalus gazella,Arctocephalus gazella,392344.099769132,31164.9996174102,Zooplankton,Mammals,Mammals - Zooplankton
Arctocephalus tropicalis,Arctocephalus tropicalis,392344.099769132,45743.9636138768,Fish,Mammals,Mammals - Fish
Argyroneta aquatica,Argyroneta aquatica,8040.74889125853,6354.47510824412,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Aspitrigla cuculus,Aspitrigla cuculus,68575.2628421097,11162.0949897841,piscivorous,Fish,Fish - piscivorous
Athorybia rosacea,Athorybia rosacea,2200,1414.2135623731,tentacled,Jellyfish,Jellyfish - tentacled
Atolla wyvillei,Atolla wyvillei,14202.4808461499,1588.81582727107,tentacled,Jellyfish,Jellyfish - tentacled
Aurelia aurita,Aurelia aurita,16201.8517460196,2345.20787991171,tentacled,Jellyfish,Jellyfish - tentacled
Aurelia aurita,Aurelia aurita,21378.8869030305,424.667067731039,tentacled,Jellyfish,Jellyfish - tentacled
Balaena mysticetus,Balaena mysticetus,3923440.99769132,6218.23492826382,Zooplankton,Mammals,Mammals - Zooplankton
Balaenoptera acutorostrata,Balaenoptera acutorostrata,2292629.05787855,5758.82382296972,Zooplankton,Mammals,Mammals - Zooplankton
Balaenoptera borealis,Balaenoptera borealis,3365119.25208321,3365.11925208321,Zooplankton,Mammals,Mammals - Zooplankton
Balaenoptera edeni,Balaenoptera edeni,3365119.25208321,72499.2965278222,Fish,Mammals,Mammals - Fish
Balaenoptera musculus,Balaenoptera musculus,6714295.62905789,9855.23820692924,Zooplankton,Mammals,Mammals - Zooplankton
Balaenoptera physalus,Balaenoptera physalus,4574396.36138768,5333.35459444652,Zooplankton,Mammals,Mammals - Zooplankton
Balanion comatum,Balanion comatum,17,6.32455532033676,Ciliates,Plankton,Plankton - Ciliates
Balanus flosculus nauplii,Balanus flosculus,860,20,Meroplankton,Invertebrate,Invertebrate - Meroplankton
