name,n.obs,total.acc
Cheseapeake Bay,13550,86.3321033210332
Cheseapeake Bay,10757,86.3321033210332
Cheseapeake Bay,10757,86.3321033210332
Cheseapeake Bay,3219,86.3247232472325
Cheseapeake Bay,3219,86.3321033210332
Cheseapeake Bay,11134,86.3321033210332
Cheseapeake Bay,11134,86.3247232472325
Cheseapeake Bay,7481,86.3321033210332
Cheseapeake Bay,7481,86.3247232472325
Cheseapeake Bay,2292,86.3247232472325
Cheseapeake Bay,2292,86.3247232472325
Cheseapeake Bay,10317,86.3321033210332
Cheseapeake Bay,10317,86.3247232472325
Cheseapeake Bay,12578,86.3321033210332
Cheseapeake Bay,12578,86.3321033210332
Cheseapeake Bay,1466,86.3247232472325
Cheseapeake Bay,1466,86.3247232472325
Cheseapeake Bay,11520,86.3321033210332
Cheseapeake Bay,11520,86.3321033210332
Cheseapeake Bay,983,86.3247232472325
Cheseapeake Bay,983,86.3247232472325
Cheseapeake Bay,1960,86.3247232472325
Cheseapeake Bay,1960,86.3247232472325
Cheseapeake Bay,12990,86.3321033210332
Cheseapeake Bay,12990,86.3321033210332
Cheseapeake Bay,5069,86.3247232472325
Cheseapeake Bay,5069,86.3321033210332
Cheseapeake Bay,9281,86.3247232472325
Cheseapeake Bay,9281,86.3321033210332
Cheseapeake Bay,5745,86.3321033210332
Cheseapeake Bay,5745,86.3247232472325
Cheseapeake Bay,13086,86.3321033210332
Cheseapeake Bay,13086,86.3321033210332
Cheseapeake Bay,2846,86.3247232472325
Cheseapeake Bay,2846,86.3247232472325
Cheseapeake Bay,9583,86.3321033210332
Cheseapeake Bay,9583,86.3247232472325
Cheseapeake Bay,8804,86.3321033210332
Cheseapeake Bay,8804,86.3321033210332
Cheseapeake Bay,1851,86.3247232472325
Cheseapeake Bay,1851,86.3247232472325
Eastern Weddell Sea Shelf,5922,85.5791962174941
Eastern Weddell Sea Shelf,3767,85.5791962174941
Eastern Weddell Sea Shelf,3767,85.5623100303951
Eastern Weddell Sea Shelf,491,85.5623100303951
Eastern Weddell Sea Shelf,491,85.5623100303951
Eastern Weddell Sea Shelf,1247,85.5623100303951
Eastern Weddell Sea Shelf,1247,85.5623100303951
Eastern Weddell Sea Shelf,4453,85.5623100303951
Eastern Weddell Sea Shelf,4453,85.5791962174941
Eastern Weddell Sea Shelf,5039,85.5791962174941
Eastern Weddell Sea Shelf,5039,85.5623100303951
Eastern Weddell Sea Shelf,492,85.5623100303951
Eastern Weddell Sea Shelf,492,85.5623100303951
Eastern Weddell Sea Shelf,1732,85.5623100303951
Eastern Weddell Sea Shelf,1732,85.5791962174941
Eastern Weddell Sea Shelf,51,84.1269841269841
Eastern Weddell Sea Shelf,51,74.805808848362
Eastern Weddell Sea Shelf,957,85.5623100303951
Eastern Weddell Sea Shelf,957,85.5791962174941
Eastern Weddell Sea Shelf,5459,85.5791962174941
Eastern Weddell Sea Shelf,5459,85.5791962174941
Eastern Weddell Sea Shelf,3820,85.5623100303951
Eastern Weddell Sea Shelf,3820,85.5791962174941
Eastern Weddell Sea Shelf,4772,85.5791962174941
Eastern Weddell Sea Shelf,4772,85.5791962174941
Eastern Weddell Sea Shelf,4046,85.5791962174941
Eastern Weddell Sea Shelf,4046,85.5791962174941
Eastern Weddell Sea Shelf,4515,85.5791962174941
Eastern Weddell Sea Shelf,4515,85.5791962174941
Eastern Weddell Sea Shelf,4030,85.5623100303951
Eastern Weddell Sea Shelf,4030,85.5791962174941
Eastern Weddell Sea Shelf,3270,85.5623100303951
Eastern Weddell Sea Shelf,3270,85.5791962174941
Eastern Weddell Sea Shelf,4963,85.5791962174941
Eastern Weddell Sea Shelf,4963,85.5791962174941
Eastern Weddell Sea Shelf,2500,85.5623100303951
Eastern Weddell Sea Shelf,2500,85.5623100303951
Eastern Weddell Sea Shelf,3498,85.5623100303951
Eastern Weddell Sea Shelf,3498,85.5623100303951
Eastern Weddell Sea Shelf,3305,85.5791962174941
Eastern Weddell Sea Shelf,3305,85.5791962174941
Arctic Shelf Area,637,75.3532182103611
Arctic Shelf Area,381,75.3532182103611
Arctic Shelf Area,381,75.3532182103611
Arctic Shelf Area,396,75.3532182103611
Arctic Shelf Area,396,75.3532182103611
Arctic Shelf Area,350,75.3532182103611
Arctic Shelf Area,350,75.3532182103611
Arctic Shelf Area,290,75.3532182103611
Arctic Shelf Area,290,75.0392464678179
Arctic Shelf Area,604,75.3532182103611
Arctic Shelf Area,604,75.3532182103611
Arctic Shelf Area,139,75.3532182103611
Arctic Shelf Area,139,75.3532182103611
Arctic Shelf Area,224,75.0392464678179
Arctic Shelf Area,224,75.3532182103611
Arctic Shelf Area,325,75.3532182103611
Arctic Shelf Area,325,75.3532182103611
Arctic Shelf Area,103,75.0392464678179
Arctic Shelf Area,103,75.0392464678179
Arctic Shelf Area,406,75.3532182103611
Arctic Shelf Area,406,75.3532182103611
Arctic Shelf Area,63,75.0392464678179
Arctic Shelf Area,63,75.0392464678179
Arctic Shelf Area,448,75.3532182103611
Arctic Shelf Area,448,75.3532182103611
Arctic Shelf Area,432,75.3532182103611
Arctic Shelf Area,432,75.3532182103611
Arctic Shelf Area,99,75.3532182103611
Arctic Shelf Area,99,75.0392464678179
Arctic Shelf Area,544,75.3532182103611
Arctic Shelf Area,544,75.3532182103611
Arctic Shelf Area,56,75.0392464678179
Arctic Shelf Area,56,67.9748822605965
Arctic Shelf Area,143,75.3532182103611
Arctic Shelf Area,143,75.0392464678179
Arctic Shelf Area,253,75.3532182103611
Arctic Shelf Area,253,75.3532182103611
Arctic Shelf Area,185,75.0392464678179
Arctic Shelf Area,185,75.3532182103611
Arctic Shelf Area,209,75.3532182103611
Arctic Shelf Area,209,75.3532182103611
Lough Hyne,3133,76.9230769230769
Lough Hyne,1855,76.9230769230769
Lough Hyne,1855,76.9230769230769
Lough Hyne,489,76.9230769230769
Lough Hyne,489,76.9230769230769
Lough Hyne,2000,76.9230769230769
Lough Hyne,2000,76.9230769230769
Lough Hyne,1078,76.9230769230769
Lough Hyne,1078,76.9230769230769
Lough Hyne,822,76.9230769230769
Lough Hyne,822,76.9230769230769
Lough Hyne,1661,76.9230769230769
Lough Hyne,1661,76.9230769230769
Lough Hyne,947,76.9230769230769
Lough Hyne,947,76.9230769230769
Lough Hyne,1221,76.9230769230769
Lough Hyne,1221,76.9230769230769
Lough Hyne,2515,76.9230769230769
Lough Hyne,2515,76.9230769230769
Lough Hyne,2528,76.9230769230769
